Facility Name,Facility ID,Address,City,State,ZIP Code,County Name,Phone Number,Hospital Type,Hospital Ownership,Emergency Services,Hospital overall rating,Meets criteria for meaningful use of EHRs,Mortality national comparison,Safety of care national comparison,Readmission national comparison,Patient experience national comparison,Effectiveness of care national comparison,Timeliness of care national comparison
North Charleston County Hospital,SC00012,2834 College St,North Charleston,SC,21625,North Charleston County,(437) 763-3133,Acute Care Hospital,Proprietary,Yes,1,Yes,Below the national average,Below the national average,Below the national average,Above the national average,Below the national average,Above the national average
South Carolina Hospital,SC00013,4590 Broadway St,Sumter,SC,85193,Sumter County,(919) 949-8931,Acute Care Hospital,Voluntary non-profit - Church,No,2,No,Above the national average,Above the national average,Below the national average,Same as the national average,Below the national average,Above the national average
South Carolina Clinic,SC00014,841 University Dr,Columbia,SC,41492,Columbia County,(950) 926-3937,Acute Care Hospital,Government - State,Yes,3,Yes,Above the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Above the national average
Mount Pleasant Clinic,SC00015,8960 Maple Dr,Mount Pleasant,SC,30641,Mount Pleasant County,(624) 895-2266,Long-Term Care Hospital,Proprietary,Yes,Not Available,No,Below the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Above the national average
Mount Michael Community Hospital,SC00016,1733 Market Ave,Hilton Head,SC,23587,Hilton Head County,(991) 221-6221,Psychiatric Hospital,Voluntary non-profit - Other,Yes,4,Yes,Below the national average,Same as the national average,Below the national average,Below the national average,Above the national average,Above the national average
Columbia County Hospital,SC00017,1930 College St,Columbia,SC,28638,Columbia County,(842) 677-1043,Rehabilitation Hospital,Voluntary non-profit - Private,No,2,No,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Above the national average
South Carolina Veterans Hospital,SC00018,6341 University Dr,Mount Pleasant,SC,86825,Mount Pleasant County,(228) 299-5001,Children's Hospital,Voluntary non-profit - Private,No,4,Yes,Below the national average,Below the national average,Above the national average,Below the national average,Same as the national average,Above the national average
St. Jeffrey Children's Hospital,SC00019,8010 Washington Ave,Summerville,SC,95887,Summerville County,(513) 959-6822,Critical Access Hospital,Voluntary non-profit - Other,No,1,Yes,Same as the national average,Above the national average,Same as the national average,Below the national average,Same as the national average,Below the national average
General James Clinic,SC00020,6494 Healthcare Dr,North Charleston,SC,86462,North Charleston County,(591) 408-1495,Long-Term Care Hospital,Voluntary non-profit - Church,Yes,3,No,Below the national average,Above the national average,Below the national average,Above the national average,Same as the national average,Above the national average
Mount Donna Health System,SC00021,7170 University Blvd,North Charleston,SC,49788,North Charleston County,(545) 898-2483,Critical Access Hospital,Voluntary non-profit - Private,Yes,4,Yes,Above the national average,Same as the national average,Above the national average,Below the national average,Above the national average,Same as the national average
South Carolina Children's Hospital,SC00022,4223 Main St,Sumter,SC,44801,Sumter County,(755) 703-2550,Acute Care Hospital,Voluntary non-profit - Private,Yes,3,Yes,Same as the national average,Above the national average,Same as the national average,Same as the national average,Above the national average,Above the national average
Summerville Regional Medical Center,SC00023,4782 Broadway Dr,Summerville,SC,49585,Summerville County,(687) 827-7664,Long-Term Care Hospital,Government - State,Yes,4,No,Same as the national average,Below the national average,Same as the national average,Same as the national average,Below the national average,Below the national average
South Carolina Hospital,SC00024,3784 Third Ave,Goose Creek,SC,78252,Goose Creek County,(607) 211-8925,Long-Term Care Hospital,Government - Local,Yes,3,No,Same as the national average,Above the national average,Below the national average,Same as the national average,Above the national average,Below the national average
St. Jeffrey Veterans Hospital,SC00025,272 Medical Dr,Columbia,SC,85981,Columbia County,(324) 606-8232,Acute Care Hospital,Voluntary non-profit - Church,No,5,Yes,Same as the national average,Same as the national average,Above the national average,Same as the national average,Above the national average,Above the national average
South Carolina Hospital,SC00026,6494 Third Dr,Sumter,SC,39397,Sumter County,(231) 522-2699,Psychiatric Hospital,Proprietary,No,3,Yes,Below the national average,Below the national average,Below the national average,Above the national average,Above the national average,Same as the national average
South Carolina Hospital,SC00027,1157 Church Way,Sumter,SC,97195,Sumter County,(585) 569-2777,Long-Term Care Hospital,Voluntary non-profit - Church,Yes,4,Yes,Above the national average,Above the national average,Above the national average,Above the national average,Below the national average,Below the national average
Rock Hill Healthcare,SC00028,2236 College St,Rock Hill,SC,40482,Rock Hill County,(309) 868-2503,Acute Care Hospital,Voluntary non-profit - Private,Yes,Not Available,Yes,Below the national average,Below the national average,Below the national average,Above the national average,Below the national average,Below the national average
Regional Jose Medical Center,SC00029,4767 Second Blvd,Hilton Head,SC,22041,Hilton Head County,(759) 757-1791,Rehabilitation Hospital,Voluntary non-profit - Private,Yes,3,Yes,Above the national average,Same as the national average,Same as the national average,Below the national average,Below the national average,Below the national average
South Carolina Health Center,SC00030,6507 Third Dr,Greenville,SC,13266,Greenville County,(834) 940-9917,Children's Hospital,Government - Local,Yes,3,Yes,Above the national average,Below the national average,Above the national average,Below the national average,Below the national average,Same as the national average
Regional Jason Veterans Hospital,SC00031,2733 First Way,Charleston,SC,61499,Charleston County,(618) 675-2841,Critical Access Hospital,Voluntary non-profit - Other,Yes,4,Yes,Below the national average,Below the national average,Above the national average,Below the national average,Above the national average,Same as the national average
South Carolina Health System,SC00032,9368 College Ave,Rock Hill,SC,39554,Rock Hill County,(253) 582-5902,Critical Access Hospital,Government - State,Yes,Not Available,No,Below the national average,Below the national average,Below the national average,Above the national average,Same as the national average,Above the national average
Sumter Regional Medical Center,SC00033,1785 Broadway St,Sumter,SC,93535,Sumter County,(363) 868-1788,Critical Access Hospital,Voluntary non-profit - Private,Yes,2,Yes,Below the national average,Same as the national average,Same as the national average,Below the national average,Below the national average,Below the national average
Mount David Regional Hospital,SC00034,5936 Park Ave,North Charleston,SC,31667,North Charleston County,(789) 540-8895,Critical Access Hospital,Government - Local,Yes,5,Yes,Below the national average,Same as the national average,Above the national average,Above the national average,Above the national average,Above the national average
